Column1,EORA_a3,Country,Year,CODE,SHORTNAME,GROUP,META_ID,name,Global.Region,Continent
827,DNK,Denmark,2016,4,AMS and Regulation (Ani&Crop),Regulation,60,Denmark,Western Europe,Europe
828,DNK,Denmark,2016,3,One Health Arrangements,General,60,Denmark,Western Europe,Europe
829,DNK,Denmark,2016,2,NAP progress,General,60,Denmark,Western Europe,Europe
830,DNK,Denmark,2016,1,NAP published,General,60,Denmark,Western Europe,Europe
831,DNK,Denmark,2016,2,AMR Awareness (Human Health),Awareness and Education,60,Denmark,Western Europe,Europe
832,DNK,Denmark,2016,4,AMR Awareness (Animal Health and Food Prod),Awareness and Education,60,Denmark,Western Europe,Europe
833,DNK,Denmark,2016,1,AMR Training (Human Health),Awareness and Education,60,Denmark,Western Europe,Europe
834,DNK,Denmark,2016,4,AMR Training (Animal Health and Food Prod),Awareness and Education,60,Denmark,Western Europe,Europe
835,DNK,Denmark,2016,4,Veterinary Services,General,60,Denmark,Western Europe,Europe
836,DNK,Denmark,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,60,Denmark,Western Europe,Europe
837,DNK,Denmark,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,60,Denmark,Western Europe,Europe
838,DNK,Denmark,2016,4,AMR Surveillance System (Humans),Monitoring and Surveillance,60,Denmark,Western Europe,Europe
839,DNK,Denmark,2016,4,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,60,Denmark,Western Europe,Europe
840,DNK,Denmark,2016,4,IPC,Prevention,60,Denmark,Western Europe,Europe
841,DNK,Denmark,2016,4,AMU Prevention,Prevention,60,Denmark,Western Europe,Europe
850,DOM,Dominican Republic,2016,2,IPC,Prevention,63,Dominican Republic,Latin America,North America and Caribbean
851,DOM,Dominican Republic,2016,1,One Health Arrangements,General,63,Dominican Republic,Latin America,North America and Caribbean
852,DOM,Dominican Republic,2016,0,NAP progress,General,63,Dominican Republic,Latin America,North America and Caribbean
853,DOM,Dominican Republic,2016,0,NAP published,General,63,Dominican Republic,Latin America,North America and Caribbean
854,DOM,Dominican Republic,2016,1,AMR Awareness (Human Health),Awareness and Education,63,Dominican Republic,Latin America,North America and Caribbean
855,DOM,Dominican Republic,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,63,Dominican Republic,Latin America,North America and Caribbean
856,DOM,Dominican Republic,2016,1,AMR Training (Human Health),Awareness and Education,63,Dominican Republic,Latin America,North America and Caribbean
857,DOM,Dominican Republic,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,63,Dominican Republic,Latin America,North America and Caribbean
858,DOM,Dominican Republic,2016,0,Veterinary Services,General,63,Dominican Republic,Latin America,North America and Caribbean
859,DOM,Dominican Republic,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,63,Dominican Republic,Latin America,North America and Caribbean
860,DOM,Dominican Republic,2016,1,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,63,Dominican Republic,Latin America,North America and Caribbean
861,DOM,Dominican Republic,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,63,Dominican Republic,Latin America,North America and Caribbean
862,DOM,Dominican Republic,2016,2,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,63,Dominican Republic,Latin America,North America and Caribbean
863,DOM,Dominican Republic,2016,2,Contamination Prevention,Regulation,63,Dominican Republic,Latin America,North America and Caribbean
865,DOM,Dominican Republic,2016,2,AMU Prevention,Prevention,63,Dominican Republic,Latin America,North America and Caribbean
873,DOM,Dominican Republic,2016,1,AMS and Regulation (Human),Regulation,63,Dominican Republic,Latin America,North America and Caribbean
874,DOM,Dominican Republic,2016,2,AMS and Regulation (Ani&Crop),Regulation,63,Dominican Republic,Latin America,North America and Caribbean
877,ECU,Ecuador,2016,2,AMU Prevention,Prevention,64,Ecuador,Latin America,South and Central America
878,ECU,Ecuador,2016,0,One Health Arrangements,General,64,Ecuador,Latin America,South and Central America
886,ECU,Ecuador,2016,0,AMS and Regulation (Human),Regulation,64,Ecuador,Latin America,South and Central America
887,ECU,Ecuador,2016,1,AMS and Regulation (Ani&Crop),Regulation,64,Ecuador,Latin America,South and Central America
889,ECU,Ecuador,2016,2,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,64,Ecuador,Latin America,South and Central America
890,ECU,Ecuador,2016,3,IPC,Prevention,64,Ecuador,Latin America,South and Central America
891,ECU,Ecuador,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,64,Ecuador,Latin America,South and Central America
892,ECU,Ecuador,2016,1,NAP progress,General,64,Ecuador,Latin America,South and Central America
893,ECU,Ecuador,2016,0,NAP published,General,64,Ecuador,Latin America,South and Central America
894,ECU,Ecuador,2016,1,AMR Awareness (Human Health),Awareness and Education,64,Ecuador,Latin America,South and Central America
895,ECU,Ecuador,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,64,Ecuador,Latin America,South and Central America
896,ECU,Ecuador,2016,1,AMR Training (Human Health),Awareness and Education,64,Ecuador,Latin America,South and Central America
897,ECU,Ecuador,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,64,Ecuador,Latin America,South and Central America
898,ECU,Ecuador,2016,2,Veterinary Services,General,64,Ecuador,Latin America,South and Central America
899,ECU,Ecuador,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,64,Ecuador,Latin America,South and Central America
900,ECU,Ecuador,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,64,Ecuador,Latin America,South and Central America
901,EGY,Egypt,2016,0,NAP published,General,65,Egypt,Africa,Africa
902,EGY,Egypt,2016,0,One Health Arrangements,General,65,Egypt,Africa,Africa
903,EGY,Egypt,2016,1,NAP progress,General,65,Egypt,Africa,Africa
906,EGY,Egypt,2016,1,AMR Awareness (Human Health),Awareness and Education,65,Egypt,Africa,Africa
907,EGY,Egypt,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,65,Egypt,Africa,Africa
908,EGY,Egypt,2016,2,AMR Training (Human Health),Awareness and Education,65,Egypt,Africa,Africa
909,EGY,Egypt,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,65,Egypt,Africa,Africa
910,EGY,Egypt,2016,0,Veterinary Services,General,65,Egypt,Africa,Africa
911,EGY,Egypt,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,65,Egypt,Africa,Africa
912,EGY,Egypt,2016,1,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,65,Egypt,Africa,Africa
913,EGY,Egypt,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,65,Egypt,Africa,Africa
914,EGY,Egypt,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,65,Egypt,Africa,Africa
915,EGY,Egypt,2016,4,IPC,Prevention,65,Egypt,Africa,Africa
916,EGY,Egypt,2016,0,AMU Prevention,Prevention,65,Egypt,Africa,Africa
921,EGY,Egypt,2016,0,AMS and Regulation (Human),Regulation,65,Egypt,Africa,Africa
922,EGY,Egypt,2016,1,AMS and Regulation (Ani&Crop),Regulation,65,Egypt,Africa,Africa
925,EGY,Egypt,2016,0,Contamination Prevention,Regulation,65,Egypt,Africa,Africa
929,ERI,Eritrea,2016,0,One Health Arrangements,General,68,Eritrea,Africa,Africa
930,ERI,Eritrea,2016,0,NAP progress,General,68,Eritrea,Africa,Africa
931,ERI,Eritrea,2016,0,NAP published,General,68,Eritrea,Africa,Africa
932,ERI,Eritrea,2016,1,AMR Awareness (Human Health),Awareness and Education,68,Eritrea,Africa,Africa
933,ERI,Eritrea,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,68,Eritrea,Africa,Africa
934,ERI,Eritrea,2016,1,AMR Training (Human Health),Awareness and Education,68,Eritrea,Africa,Africa
936,ERI,Eritrea,2016,0,AMS and Regulation (Human),Regulation,68,Eritrea,Africa,Africa
937,ERI,Eritrea,2016,0,AMS and Regulation (Ani&Crop),Regulation,68,Eritrea,Africa,Africa
939,ERI,Eritrea,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,68,Eritrea,Africa,Africa
940,ERI,Eritrea,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,68,Eritrea,Africa,Africa
941,ERI,Eritrea,2016,2,IPC,Prevention,68,Eritrea,Africa,Africa
942,ERI,Eritrea,2016,1,AMU Prevention,Prevention,68,Eritrea,Africa,Africa
947,ERI,Eritrea,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,68,Eritrea,Africa,Africa
948,ERI,Eritrea,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,68,Eritrea,Africa,Africa
949,ERI,Eritrea,2016,1,Veterinary Services,General,68,Eritrea,Africa,Africa
950,ERI,Eritrea,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,68,Eritrea,Africa,Africa
952,ESP,Spain,2016,2,Veterinary Services,General,214,Spain,Western Europe,Europe
953,ESP,Spain,2016,4,One Health Arrangements,General,214,Spain,Western Europe,Europe
954,ESP,Spain,2016,3,NAP progress,General,214,Spain,Western Europe,Europe
955,ESP,Spain,2016,1,NAP published,General,214,Spain,Western Europe,Europe
956,ESP,Spain,2016,3,AMR Awareness (Human Health),Awareness and Education,214,Spain,Western Europe,Europe
957,ESP,Spain,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,214,Spain,Western Europe,Europe
958,ESP,Spain,2016,3,AMR Training (Human Health),Awareness and Education,214,Spain,Western Europe,Europe
959,ESP,Spain,2016,4,AMR Training (Animal Health and Food Prod),Awareness and Education,214,Spain,Western Europe,Europe
963,ESP,Spain,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,214,Spain,Western Europe,Europe
964,ESP,Spain,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,214,Spain,Western Europe,Europe
965,ESP,Spain,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,214,Spain,Western Europe,Europe
966,ESP,Spain,2016,2,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,214,Spain,Western Europe,Europe
967,ESP,Spain,2016,3,IPC,Prevention,214,Spain,Western Europe,Europe
968,ESP,Spain,2016,3,AMU Prevention,Prevention,214,Spain,Western Europe,Europe
973,ESP,Spain,2016,4,AMS and Regulation (Human),Regulation,214,Spain,Western Europe,Europe
974,ESP,Spain,2016,4,AMS and Regulation (Ani&Crop),Regulation,214,Spain,Western Europe,Europe
975,ESP,Spain,2016,2,Contamination Prevention,Regulation,214,Spain,Western Europe,Europe
977,EST,Estonia,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,69,Estonia,Other Europe,Europe
978,EST,Estonia,2016,0,One Health Arrangements,General,69,Estonia,Other Europe,Europe
979,EST,Estonia,2016,1,NAP progress,General,69,Estonia,Other Europe,Europe
980,EST,Estonia,2016,0,NAP published,General,69,Estonia,Other Europe,Europe
981,EST,Estonia,2016,1,AMR Awareness (Human Health),Awareness and Education,69,Estonia,Other Europe,Europe
982,EST,Estonia,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,69,Estonia,Other Europe,Europe
983,EST,Estonia,2016,2,AMR Training (Human Health),Awareness and Education,69,Estonia,Other Europe,Europe
984,EST,Estonia,2016,4,AMR Training (Animal Health and Food Prod),Awareness and Education,69,Estonia,Other Europe,Europe
985,EST,Estonia,2016,0,Veterinary Services,General,69,Estonia,Other Europe,Europe
988,EST,Estonia,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,69,Estonia,Other Europe,Europe
989,EST,Estonia,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,69,Estonia,Other Europe,Europe
990,EST,Estonia,2016,4,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,69,Estonia,Other Europe,Europe
991,EST,Estonia,2016,2,IPC,Prevention,69,Estonia,Other Europe,Europe
992,EST,Estonia,2016,1,AMU Prevention,Prevention,69,Estonia,Other Europe,Europe
999,EST,Estonia,2016,0,Contamination Prevention,Regulation,69,Estonia,Other Europe,Europe
1000,EST,Estonia,2016,2,AMS and Regulation (Human),Regulation,69,Estonia,Other Europe,Europe
1001,EST,Estonia,2016,3,AMS and Regulation (Ani&Crop),Regulation,69,Estonia,Other Europe,Europe
1013,ETH,Ethiopia,2016,2,AMS and Regulation (Ani&Crop),Regulation,70,Ethiopia,Africa,Africa
1014,ETH,Ethiopia,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,70,Ethiopia,Africa,Africa
1016,ETH,Ethiopia,2016,3,AMU Prevention,Prevention,70,Ethiopia,Africa,Africa
1017,ETH,Ethiopia,2016,2,One Health Arrangements,General,70,Ethiopia,Africa,Africa
1018,ETH,Ethiopia,2016,2,NAP progress,General,70,Ethiopia,Africa,Africa
1019,ETH,Ethiopia,2016,0,NAP published,General,70,Ethiopia,Africa,Africa
1023,ETH,Ethiopia,2016,3,AMR Training (Animal Health and Food Prod),Awareness and Education,70,Ethiopia,Africa,Africa
1027,FIN,Finland,2016,1,One Health Arrangements,General,76,Finland,Western Europe,Europe
1028,FIN,Finland,2016,2,AMU Prevention,Prevention,76,Finland,Western Europe,Europe
1029,FIN,Finland,2016,1,NAP progress,General,76,Finland,Western Europe,Europe
1030,FIN,Finland,2016,0,NAP published,General,76,Finland,Western Europe,Europe
1031,FIN,Finland,2016,1,AMR Awareness (Human Health),Awareness and Education,76,Finland,Western Europe,Europe
1032,FIN,Finland,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,76,Finland,Western Europe,Europe
1033,FIN,Finland,2016,2,AMR Training (Human Health),Awareness and Education,76,Finland,Western Europe,Europe
1034,FIN,Finland,2016,3,AMR Training (Animal Health and Food Prod),Awareness and Education,76,Finland,Western Europe,Europe
1035,FIN,Finland,2016,4,Veterinary Services,General,76,Finland,Western Europe,Europe
1036,FIN,Finland,2016,2,Monitoring System for AMU (Human Health),Monitoring and Surveillance,76,Finland,Western Europe,Europe
1037,FIN,Finland,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,76,Finland,Western Europe,Europe
1038,FIN,Finland,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,76,Finland,Western Europe,Europe
1039,FIN,Finland,2016,4,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,76,Finland,Western Europe,Europe
1040,FIN,Finland,2016,0,IPC,Prevention,76,Finland,Western Europe,Europe
1041,FIN,Finland,2016,0,AMS and Regulation (Human),Regulation,76,Finland,Western Europe,Europe
1042,FIN,Finland,2016,4,AMS and Regulation (Ani&Crop),Regulation,76,Finland,Western Europe,Europe
1052,FJI,Fiji,2016,4,Contamination Prevention,Regulation,75,Fiji,Asia-Pacific,Australia
1053,FJI,Fiji,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,75,Fiji,Asia-Pacific,Australia
1054,FJI,Fiji,2016,1,One Health Arrangements,General,75,Fiji,Asia-Pacific,Australia
1055,FJI,Fiji,2016,3,NAP progress,General,75,Fiji,Asia-Pacific,Australia
1056,FJI,Fiji,2016,1,NAP published,General,75,Fiji,Asia-Pacific,Australia
1057,FJI,Fiji,2016,2,AMR Awareness (Human Health),Awareness and Education,75,Fiji,Asia-Pacific,Australia
1058,FJI,Fiji,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,75,Fiji,Asia-Pacific,Australia
1059,FJI,Fiji,2016,1,AMR Training (Human Health),Awareness and Education,75,Fiji,Asia-Pacific,Australia
1062,FJI,Fiji,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,75,Fiji,Asia-Pacific,Australia
1063,FJI,Fiji,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,75,Fiji,Asia-Pacific,Australia
1064,FJI,Fiji,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,75,Fiji,Asia-Pacific,Australia
1066,FJI,Fiji,2016,3,IPC,Prevention,75,Fiji,Asia-Pacific,Australia
1076,FJI,Fiji,2016,2,AMS and Regulation (Human),Regulation,75,Fiji,Asia-Pacific,Australia
1083,FRA,France,2016,3,One Health Arrangements,General,79,France,Western Europe,Europe
1084,FRA,France,2016,3,NAP progress,General,79,France,Western Europe,Europe
1088,FRA,France,2016,3,AMS and Regulation (Human),Regulation,79,France,Western Europe,Europe
1089,FRA,France,2016,4,AMS and Regulation (Ani&Crop),Regulation,79,France,Western Europe,Europe
1090,FRA,France,2016,0,Contamination Prevention,Regulation,79,France,Western Europe,Europe
1091,FRA,France,2016,2,Monitoring System for AMU (Human Health),Monitoring and Surveillance,79,France,Western Europe,Europe
1092,FRA,France,2016,4,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,79,France,Western Europe,Europe
1093,FRA,France,2016,4,AMR Surveillance System (Humans),Monitoring and Surveillance,79,France,Western Europe,Europe
1094,FRA,France,2016,4,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,79,France,Western Europe,Europe
1095,FRA,France,2016,3,IPC,Prevention,79,France,Western Europe,Europe
1096,FRA,France,2016,4,AMU Prevention,Prevention,79,France,Western Europe,Europe
1097,FRA,France,2016,2,AMR Training (Human Health),Awareness and Education,79,France,Western Europe,Europe
1098,FRA,France,2016,1,NAP published,General,79,France,Western Europe,Europe
1099,FRA,France,2016,4,AMR Awareness (Human Health),Awareness and Education,79,France,Western Europe,Europe
1100,FRA,France,2016,4,AMR Awareness (Animal Health and Food Prod),Awareness and Education,79,France,Western Europe,Europe
1101,FRA,France,2016,4,AMR Training (Animal Health and Food Prod),Awareness and Education,79,France,Western Europe,Europe
1102,FRA,France,2016,4,Veterinary Services,General,79,France,Western Europe,Europe
1104,FSM,Micronesia (Federated States of),2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,146,Micronesia,Asia-Pacific,Asia
1105,FSM,Micronesia (Federated States of),2016,1,IPC,Prevention,146,Micronesia,Asia-Pacific,Asia
1106,FSM,Micronesia (Federated States of),2016,1,AMU Prevention,Prevention,146,Micronesia,Asia-Pacific,Asia
1114,FSM,Micronesia (Federated States of),2016,0,AMS and Regulation (Human),Regulation,146,Micronesia,Asia-Pacific,Asia
1115,FSM,Micronesia (Federated States of),2016,0,AMS and Regulation (Ani&Crop),Regulation,146,Micronesia,Asia-Pacific,Asia
1116,FSM,Micronesia (Federated States of),2016,4,Contamination Prevention,Regulation,146,Micronesia,Asia-Pacific,Asia
1117,FSM,Micronesia (Federated States of),2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,146,Micronesia,Asia-Pacific,Asia
1118,FSM,Micronesia (Federated States of),2016,0,NAP published,General,146,Micronesia,Asia-Pacific,Asia
1120,FSM,Micronesia (Federated States of),2016,0,One Health Arrangements,General,146,Micronesia,Asia-Pacific,Asia
1121,FSM,Micronesia (Federated States of),2016,1,NAP progress,General,146,Micronesia,Asia-Pacific,Asia
1122,FSM,Micronesia (Federated States of),2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,146,Micronesia,Asia-Pacific,Asia
1123,FSM,Micronesia (Federated States of),2016,1,AMR Awareness (Human Health),Awareness and Education,146,Micronesia,Asia-Pacific,Asia
1124,FSM,Micronesia (Federated States of),2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,146,Micronesia,Asia-Pacific,Asia
1125,FSM,Micronesia (Federated States of),2016,1,AMR Training (Human Health),Awareness and Education,146,Micronesia,Asia-Pacific,Asia
1126,FSM,Micronesia (Federated States of),2016,0,Veterinary Services,General,146,Micronesia,Asia-Pacific,Asia
1127,FSM,Micronesia (Federated States of),2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,146,Micronesia,Asia-Pacific,Asia
1128,FSM,Micronesia (Federated States of),2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,146,Micronesia,Asia-Pacific,Asia
1130,GBR,United Kingdom,2016,4,One Health Arrangements,General,242,UK,Western Europe,Europe
1131,GBR,United Kingdom,2016,4,NAP progress,General,242,UK,Western Europe,Europe
1132,GBR,United Kingdom,2016,1,NAP published,General,242,UK,Western Europe,Europe
1133,GBR,United Kingdom,2016,4,AMR Awareness (Human Health),Awareness and Education,242,UK,Western Europe,Europe
1134,GBR,United Kingdom,2016,2,AMR Awareness (Animal Health and Food Prod),Awareness and Education,242,UK,Western Europe,Europe
1135,GBR,United Kingdom,2016,4,AMR Training (Human Health),Awareness and Education,242,UK,Western Europe,Europe
1136,GBR,United Kingdom,2016,4,AMR Training (Animal Health and Food Prod),Awareness and Education,242,UK,Western Europe,Europe
1137,GBR,United Kingdom,2016,4,Veterinary Services,General,242,UK,Western Europe,Europe
1138,GBR,United Kingdom,2016,3,Monitoring System for AMU (Human Health),Monitoring and Surveillance,242,UK,Western Europe,Europe
1139,GBR,United Kingdom,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,242,UK,Western Europe,Europe
1140,GBR,United Kingdom,2016,4,AMR Surveillance System (Humans),Monitoring and Surveillance,242,UK,Western Europe,Europe
1141,GBR,United Kingdom,2016,4,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,242,UK,Western Europe,Europe
1142,GBR,United Kingdom,2016,4,IPC,Prevention,242,UK,Western Europe,Europe
1143,GBR,United Kingdom,2016,2,AMU Prevention,Prevention,242,UK,Western Europe,Europe
1152,GBR,United Kingdom,2016,4,AMS and Regulation (Human),Regulation,242,UK,Western Europe,Europe
1153,GBR,United Kingdom,2016,4,AMS and Regulation (Ani&Crop),Regulation,242,UK,Western Europe,Europe
1154,GBR,United Kingdom,2016,3,Contamination Prevention,Regulation,242,UK,Western Europe,Europe
1155,GEO,Georgia,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,85,Georgia,M. East & C. Asia,Asia
1156,GEO,Georgia,2016,1,One Health Arrangements,General,85,Georgia,M. East & C. Asia,Asia
1157,GEO,Georgia,2016,3,NAP progress,General,85,Georgia,M. East & C. Asia,Asia
1158,GEO,Georgia,2016,0,NAP published,General,85,Georgia,M. East & C. Asia,Asia
1159,GEO,Georgia,2016,2,AMR Awareness (Human Health),Awareness and Education,85,Georgia,M. East & C. Asia,Asia
1160,GEO,Georgia,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,85,Georgia,M. East & C. Asia,Asia
1161,GEO,Georgia,2016,3,AMR Training (Human Health),Awareness and Education,85,Georgia,M. East & C. Asia,Asia
1164,GEO,Georgia,2016,0,Veterinary Services,General,85,Georgia,M. East & C. Asia,Asia
1165,GEO,Georgia,2016,3,Monitoring System for AMU (Human Health),Monitoring and Surveillance,85,Georgia,M. East & C. Asia,Asia
1166,GEO,Georgia,2016,1,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,85,Georgia,M. East & C. Asia,Asia
1167,GEO,Georgia,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,85,Georgia,M. East & C. Asia,Asia
1168,GEO,Georgia,2016,2,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,85,Georgia,M. East & C. Asia,Asia
1169,GEO,Georgia,2016,1,IPC,Prevention,85,Georgia,M. East & C. Asia,Asia
1170,GEO,Georgia,2016,0,AMU Prevention,Prevention,85,Georgia,M. East & C. Asia,Asia
1175,GEO,Georgia,2016,2,AMS and Regulation (Human),Regulation,85,Georgia,M. East & C. Asia,Asia
1176,GEO,Georgia,2016,1,AMS and Regulation (Ani&Crop),Regulation,85,Georgia,M. East & C. Asia,Asia
1179,GEO,Georgia,2016,0,Contamination Prevention,Regulation,85,Georgia,M. East & C. Asia,Asia
1181,GHA,Ghana,2016,2,AMS and Regulation (Ani&Crop),Regulation,89,Ghana,Africa,Africa
1182,GHA,Ghana,2016,1,AMS and Regulation (Human),Regulation,89,Ghana,Africa,Africa
1183,GHA,Ghana,2016,1,One Health Arrangements,General,89,Ghana,Africa,Africa
1184,GHA,Ghana,2016,2,NAP progress,General,89,Ghana,Africa,Africa
1185,GHA,Ghana,2016,0,NAP published,General,89,Ghana,Africa,Africa
1186,GHA,Ghana,2016,1,AMR Awareness (Human Health),Awareness and Education,89,Ghana,Africa,Africa
1187,GHA,Ghana,2016,0,AMR Awareness (Animal Health and Food Prod),Awareness and Education,89,Ghana,Africa,Africa
1188,GHA,Ghana,2016,1,AMR Training (Human Health),Awareness and Education,89,Ghana,Africa,Africa
1189,GHA,Ghana,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,89,Ghana,Africa,Africa
1190,GHA,Ghana,2016,0,Veterinary Services,General,89,Ghana,Africa,Africa
1191,GHA,Ghana,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,89,Ghana,Africa,Africa
1192,GHA,Ghana,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,89,Ghana,Africa,Africa
1193,GHA,Ghana,2016,1,Contamination Prevention,Regulation,89,Ghana,Africa,Africa
1194,GHA,Ghana,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,89,Ghana,Africa,Africa
1195,GHA,Ghana,2016,1,IPC,Prevention,89,Ghana,Africa,Africa
1196,GHA,Ghana,2016,0,AMU Prevention,Prevention,89,Ghana,Africa,Africa
1205,GHA,Ghana,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,89,Ghana,Africa,Africa
1207,GIN,Guinea,2016,0,NAP published,General,98,Guinea,Africa,Africa
1208,GIN,Guinea,2016,0,One Health Arrangements,General,98,Guinea,Africa,Africa
1209,GIN,Guinea,2016,0,NAP progress,General,98,Guinea,Africa,Africa
1212,GIN,Guinea,2016,1,AMR Awareness (Human Health),Awareness and Education,98,Guinea,Africa,Africa
1213,GIN,Guinea,2016,2,AMR Awareness (Animal Health and Food Prod),Awareness and Education,98,Guinea,Africa,Africa
1214,GIN,Guinea,2016,2,AMR Training (Human Health),Awareness and Education,98,Guinea,Africa,Africa
1215,GIN,Guinea,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,98,Guinea,Africa,Africa
1216,GIN,Guinea,2016,2,Veterinary Services,General,98,Guinea,Africa,Africa
1217,GIN,Guinea,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,98,Guinea,Africa,Africa
1218,GIN,Guinea,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,98,Guinea,Africa,Africa
1219,GIN,Guinea,2016,0,AMR Surveillance System (Humans),Monitoring and Surveillance,98,Guinea,Africa,Africa
1220,GIN,Guinea,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,98,Guinea,Africa,Africa
1221,GIN,Guinea,2016,2,IPC,Prevention,98,Guinea,Africa,Africa
1222,GIN,Guinea,2016,1,AMU Prevention,Prevention,98,Guinea,Africa,Africa
1227,GIN,Guinea,2016,1,AMS and Regulation (Human),Regulation,98,Guinea,Africa,Africa
1228,GIN,Guinea,2016,0,AMS and Regulation (Ani&Crop),Regulation,98,Guinea,Africa,Africa
1231,GIN,Guinea,2016,1,Contamination Prevention,Regulation,98,Guinea,Africa,Africa
1234,GNB,Guinea-Bissau,2016,1,AMR Awareness (Human Health),Awareness and Education,99,Guinea-Bissau,Africa,Africa
1240,GNB,Guinea-Bissau,2016,0,AMR Training (Human Health),Awareness and Education,99,Guinea-Bissau,Africa,Africa
1245,GNB,Guinea-Bissau,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,99,Guinea-Bissau,Africa,Africa
1247,GNB,Guinea-Bissau,2016,0,IPC,Prevention,99,Guinea-Bissau,Africa,Africa
1250,GNB,Guinea-Bissau,2016,1,NAP progress,General,99,Guinea-Bissau,Africa,Africa
1251,GNB,Guinea-Bissau,2016,0,NAP published,General,99,Guinea-Bissau,Africa,Africa
1257,GNB,Guinea-Bissau,2016,0,AMS and Regulation (Human),Regulation,99,Guinea-Bissau,Africa,Africa
